id,feed,title,description,published,updated,link,og
https://www.theatlantic.com/family/archive/2021/02/pandemic-daily-life-normal-summer-fall/618108/,http://chrisamico.newsblur.com/,The Most Likely Timeline for Life to Return to Normal,"An uncertain spring, an amazing summer, a cautious fall and winter, and then, finally, relief.",2021-02-27T00:29:06+00:00,,https://www.theatlantic.com/family/archive/2021/02/pandemic-daily-life-normal-summer-fall/618108/,"{""site_name"": ""The Atlantic"", ""locale"": ""en_US"", ""type"": ""article"", ""image"": ""https://cdn.theatlantic.com/thumbor/BcGZmSMYT09eqAnSYRyIJSHVSvA=/0x484:3295x2200/960x500/media/img/mt/2021/02/h_15375347/original.jpg""}"
https://www.forbes.com/sites/davidaxe/2021/02/23/the-us-air-force-just-admitted-the-f-35-stealth-fighter-has-failed/?sh=3c0c8f91b169&utm_source=ForbesMainTwitter&utm_campaign=socialflowForbesMainTwitter&utm_medium=social,http://chrisamico.newsblur.com/,The U.S. Air Force Just Admitted The F-35 Stealth Fighter Has Failed,"The U.S. Air Force’s chief of staff wants the service to develop an affordable, lightweight fighter to replace hundreds of aging F-16s and complement a small fleet of sophisticated F-35 stealth fighters. But an affordable, lightweight fighter is exactly what the F-35 was first conceived to be.",2021-02-24T18:57:46+00:00,,https://www.forbes.com/sites/davidaxe/2021/02/23/the-us-air-force-just-admitted-the-f-35-stealth-fighter-has-failed/,"{""site_name"": ""Forbes"", ""type"": ""article"", ""image"": ""https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F60343159132e0b0552c1b9df%2F0x0.jpg%3FcropX1%3D0%26cropX2%3D1088%26cropY1%3D59%26cropY2%3D569"", ""updated_time"": ""2021-02-25T14:00:38.155-05:00""}"
https://www.simeongriggs.dev/designing-a-more-complete-recipe-website,http://chrisamico.newsblur.com/,"Recipe websites, data modelling and user experience | simeonGriggs","To a developer, recipes represent such a complex and delicious content model. So why do so many recipe websites leave a bad taste? Let's explore cooking up a more ideal version.",2021-02-19T16:44:21+00:00,,https://www.simeongriggs.dev/designing-a-more-complete-recipe-website/,"{""type"": ""website"", ""image"": ""https://api.apiflash.com/v1/urltoimage?access_key=21a6a19367114878b3b23d4ef68504d4&url=https://www.simeongriggs.dev/screenshot/designing-a-more-complete-recipe-website/&format=png&height=630&width=1200&response_type=image"", ""image:width"": ""1200"", ""image:height"": ""630""}"
https://www.nytimes.com/2021/02/19/sports/tennis/serena-williams-retire-australian-open.html,http://chrisamico.newsblur.com/,"Farewell, Serena? Not So Fast",Williams’s wan wave after losing to Naomi Osaka in the Australian Open semifinal stirred retirement speculation. GOATs don’t go out that way.,2021-02-19T15:13:19+00:00,,https://www.nytimes.com/2021/02/19/sports/tennis/serena-williams-retire-australian-open.html,"{""type"": ""article"", ""image"": ""https://static01.nyt.com/images/2021/02/20/sports/19streeter-sot-print/19streeter-sot-print-facebookJumbo-v3.jpg"", ""image:alt"": ""At the Australian Open, Serena Williams was in the best shape she had been in since returning from maternity leave, and she pummeled the No. 2-ranked Simona Halep ahead of her defeat in the semifinals.""}"
https://xkcd.com/2425/,http://chrisamico.newsblur.com/,mRNA Vaccine,,2021-02-16T17:35:43+00:00,,https://xkcd.com/2425/,"{""site_name"": ""xkcd"", ""image"": ""https://imgs.xkcd.com/comics/mrna_vaccine_2x.png""}"
https://nightheronbarks.com/winter-2021/michael-quattrone/,http://chrisamico.newsblur.com/,Michael Quattrone,"The Kingdom Platypuses glow in blacklight.No idea how or why, or what those duck-billed ravers from down under mightbe hatching inside ultraviolet fur.Scorpions, lichens, puffin beaks all poplike p…",2021-02-12T15:26:31+00:00,,https://nightheronbarks.com/winter-2021/michael-quattrone/,"{""type"": ""article"", ""site_name"": ""The Night Heron Barks"", ""image"": ""https://nightheronbarks.com/wp-content/uploads/2021/01/nhb-crown.jpg"", ""image:width"": ""4132"", ""image:height"": ""4132"", ""locale"": ""en_US""}"
https://www.defensenews.com/opinion/commentary/2021/02/09/the-system-worked-as-designed-is-bad-news/,http://chrisamico.newsblur.com/,‘The system worked as designed’ is bad news,Let's take a look at timeline of the Army’s response to the COVID-19 pandemic. It's not pretty.,2021-02-10T16:12:15+00:00,,https://www.defensenews.com/opinion/commentary/2021/02/09/the-system-worked-as-designed-is-bad-news/,"{""type"": ""article"", ""image"": ""https://www.armytimes.com/resizer/euklTEw3tlwTGXDik5gklK5q4xc=/1200x630/filters:quality(100)/cloudfront-us-east-1.images.arcpublishing.com/mco/3Q5UAP3E2RGRDKNKIKG6HKLRIA.jpg"", ""site_name"": ""Defense News"", ""locale"": ""en_US""}"
https://www.washingtonpost.com/politics/2021/02/09/republicans-came-within-90000-votes-controlling-all-washington/?utm_source=rss&utm_medium=referral&utm_campaign=wp_politics,http://chrisamico.newsblur.com/,"Analysis | Republicans came within 90,000 votes of controlling all of Washington","While the GOP lost the presidential race and control of the Senate, we very nearly had a much different outcome.",2021-02-09T19:47:35+00:00,,https://www.washingtonpost.com/politics/2021/02/09/republicans-came-within-90000-votes-controlling-all-washington/,"{""site_name"": ""Washington Post"", ""type"": ""article"", ""image"": ""https://www.washingtonpost.com/wp-apps/imrs.php?src=https://d1i4t8bqe7zgj6.cloudfront.net/01-31-2021/t_bcc0888356424c4a9231c64d95935100_name_20210131_SUNDAYWRAP_THUMB_v1_00_03_20_19_Still004.jpg&w=1440""}"
https://covidtracking.com/analysis-updates/covid-tracking-project-end-march-7,http://chrisamico.newsblur.com/,Analysis & updates | It’s Time: The COVID Tracking Project Will Soon Come to an End,,2021-02-01T21:01:57+00:00,,https://covidtracking.com/analysis-updates/covid-tracking-project-end-march-7,"{""site_name"": ""The COVID Tracking Project"", ""type"": ""website"", ""image"": ""https://images.ctfassets.net/o2ll9t4ee8tq/1qiUiDsbasRwZLi5A6shSB/2f58ba998808e6ed0bcd9e137a97ba4b/86609535-48149080-bf69-11ea-9c4f-ffe056051e2b.png?w=1200&fl=progressive&q=50"", ""description"": null}"
https://talkpython.fm/episodes/show/299/personal-search-engine-with-datasette-and-dogsheep,http://chrisamico.newsblur.com/,Personal search engine with datasette and dogsheep,"In this episode, we'll be discussing two powerful tools for data reporting and exploration: Datasette and Dogsheep.        Datasette helps people take data of any shape or size, analyze and explore it, and publish it as an interactive website and accompanying API.        Dogsheep is a collection of tools for personal analytics using SQLite and Datasette. Imagine a unified search engine for everything personal in your life such as twitter, photos, google docs, todoist, goodreads, and more, all in once place and outside of cloud companies.        On this episode we talk with Simon Willison who created both of these projects. He's also one of the co-creators of Django and we'll discuss some early Django history!",2021-01-28T18:36:01+00:00,,https://talkpython.fm/episodes/show/299/personal-search-engine-with-datasette-and-dogsheep,"{""image"": ""https://talkpython.fm/static/img/social-share-tp.png""}"
